"DispNum3","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","HiAct","HostLev","Recip","NumA","NumB","Ongo2010","StDate","EndDate","incidnum","year","loctext","latitude","longitude","onset"
4300,"26","01",2001,"04","06",2001,5,3,0,16,4,1,1,1,0,"26/26/2001","04/04/2001",4300003,2001,"Guinea - Sierra Leonean border; Kambia area",9.166667,-12.75,0
4301,"01","05",2001,"01","05",2001,7,4,0,15,4,0,1,1,0,"01/01/2001","01/01/2001",4301001,2001,"Pujehun, Sierra Leone",7.333333,-11.5,1
4302,"13","08",1999,"17","09",1999,6,1,0,8,3,0,1,1,0,"13/13/1999","17/17/1999",4302001,1999,"Along the guinea-liberia border",7.616667,-9.483334,1
4303,"07","01",2001,"21","11",2001,8,4,1,16,4,1,1,1,0,"07/07/2001","21/21/2001",4303001,2001,"Zambia - Solwezi area in Northwestern Province",-12.41667,26,1
4303,"07","01",2001,"21","11",2001,8,4,1,16,4,1,1,1,0,"07/07/2001","21/21/2001",4303002,2001,"Mongu, Zambia; Kayeshi and Mungongi villages in Silvwe area.",-15.16667,23.5,0
4303,"07","01",2001,"21","11",2001,8,4,1,16,4,1,1,1,0,"07/07/2001","21/21/2001",4303003,2001,"Zambia - Angola border",-14.2,21.88333,0
4303,"07","01",2001,"21","11",2001,8,4,1,16,4,1,1,1,0,"07/07/2001","21/21/2001",4303004,2001,"Shang'ombo, Zambia near Angolan border",-16.33333,22.08333,0
4303,"07","01",2001,"21","11",2001,8,4,1,16,4,1,1,1,0,"07/07/2001","21/21/2001",4303005,2001,"West Zambia near Angolan border",-15.16667,23.5,0
4304,"07","12",1997,"09","12",1997,5,3,0,12,3,0,1,1,0,"07/07/1997","09/09/1997",4304001,1997,"The Uganda-Sudan border, at Bibia in Kilak county of Gulu district, Uganda.",3.5072,32.136,1
4305,"30","10",2001,"30","10",2001,5,3,0,8,3,0,1,1,0,"30/30/2001","30/30/2001",4305001,2001,"Uganda-Sudan border",3.583333,32.16667,1
4306,"01","03",2001,"06","03",2001,5,3,0,14,4,0,1,1,0,"01/01/2001","06/06/2001",4306001,2001,"In eastern province of Bertoua around Garoua-Boulai town in Cameroon",5.883333,14.55,1
4307,"14","04",1994,"01","09",1994,3,4,0,14,4,0,1,1,0,"14/14/1994","01/01/1994",4307001,1994,"The Kasumbalesa area on the DRC-ZAM border",-12.18333,27.7,1
4308,"08","02",1993,"08","02",1993,5,3,1,17,4,1,1,1,0,"08/08/1993","08/08/1993",4308001,1993,"The location is in the border region of Tahoua, some 400km north-east of Niamey.",10.85,15.35,1
4309,"04","03",1996,"01","04",1996,5,3,0,14,4,0,1,1,0,"04/04/1996","01/01/1996",4309001,1996,"Kpeaba is a village located in the Sipilov constituency of Ivory Coast. Presumab",7.733333,-7.6,1
4310,"26","03",2001,"30","10",2001,5,3,0,11,3,0,1,1,0,"26/26/2001","30/30/2001",4310001,2001,"Along the Rwanda-Uganda birder in Southwestern Uganda.  Specifically, in the are",-1.05,30.45,1
4311,"16","05",2000,"01","05",2000,5,3,0,11,3,0,1,1,0,"16/16/2000","01/01/2000",4311001,2000,"Two crossing points on the TAZ-BUI border: Kibondo on Malagarazi river and Kager",-1.733333,30.96667,1
4312,"29","04",2000,"01","05",2000,5,3,0,14,4,0,1,1,0,"29/29/2000","01/01/2000",4312001,2000,"Lete Island on the Niger-Benin border",11.08333,3.55,1
4313,"29","04",2001,"30","04",2001,8,3,0,11,3,0,1,1,0,"29/29/2001","30/30/2001",4313001,2001,"The Indian/Bengali border from Bhanra (in Satkhira) to Belonia (in Feni).",22.35,89.15,1
4314,"10","02",2001,"29","04",2001,5,3,2,17,4,1,1,1,0,"10/10/2001","29/29/2001",4314001,2001,"Burmese/Thai border: towns of Tachilek (Burma) and Mae Sai, Ban Pang Noon (Thail",20.43333,99.86667,1
4314,"10","02",2001,"29","04",2001,5,3,2,17,4,1,1,1,0,"10/10/2001","29/29/2001",4314002,2001,"Thai/Burmese border, Mae Fah Luang district.",18.46667,99.41666,0
4314,"10","02",2001,"29","04",2001,5,3,2,17,4,1,1,1,0,"10/10/2001","29/29/2001",4314003,2001,"Thai/Burmese border (unspecified).",16.38333,98.68333,0
4315,"20","05",1997,"01","05",1997,5,3,0,11,3,0,1,1,0,"20/20/1997","01/01/1997",4315001,1997,"Syrian border with Turkey and Iraq",37.13334,42.33333,1
4317,"23","07",2001,"01","12",2001,8,4,0,12,3,1,1,1,0,"23/23/2001","01/01/2001",4317001,2001,"Southern Caspian Sea",42,50,1
4317,"23","07",2001,"01","12",2001,8,4,0,12,3,1,1,1,0,"23/23/2001","01/01/2001",4317002,2001,"IRN-AZE border, 90 miles from Baku",39.7,48.01667,0
4317,"23","07",2001,"01","12",2001,8,4,0,12,3,1,1,1,0,"23/23/2001","01/01/2001",4317003,2001,"IRN-AZE border, 90 miles from Baku",39.7,48.01667,0
4317,"23","07",2001,"01","12",2001,8,4,0,12,3,1,1,1,0,"23/23/2001","01/01/2001",4317004,2001,"AZE-IRN border",39.7,48.01667,0
4318,"08","03",1995,"23","02",1996,5,3,-9,17,4,1,1,1,0,"08/08/1995","23/23/1996",4318001,1995,"ARM/AZE border around the villages of Moves, Aigepar, Nerkin, and Karmirakhpyur.",40.93333,45.45,1
4318,"08","03",1995,"23","02",1996,5,3,-9,17,4,1,1,1,0,"08/08/1995","23/23/1996",4318002,1995,"Northern border between ARM and AZE.",41.06667,45.05,0
4318,"08","03",1995,"23","02",1996,5,3,-9,17,4,1,1,1,0,"08/08/1995","23/23/1996",4318003,1996,"Southern border between ARM and AZE near the Nakhichevan enclave.",39.33333,45.5,0
4319,"15","12",1996,"14","05",1997,5,3,2,17,4,1,1,1,0,"15/15/1996","14/14/1997",4319001,1996,"South-western border between ARM and AZE near the village of Tsirani Dzor.",39.13334,46.01667,1
4319,"15","12",1996,"14","05",1997,5,3,2,17,4,1,1,1,0,"15/15/1996","14/14/1997",4319002,1997,"Southeastern ARM/AZE border.",39.2,46.38334,0
4319,"15","12",1996,"14","05",1997,5,3,2,17,4,1,1,1,0,"15/15/1996","14/14/1997",4319003,1997,"Nagorno-Karabahk region.",40,46.58333,0
4319,"15","12",1996,"14","05",1997,5,3,2,17,4,1,1,1,0,"15/15/1996","14/14/1997",4319004,1997,"Near Nagorno-Karabahk",40,46.58333,0
4319,"15","12",1996,"14","05",1997,5,3,2,17,4,1,1,1,0,"15/15/1996","14/14/1997",4319005,1997,"Northern border between ARM and AZE.",41.06667,45.05,0
4320,"27","12",2000,"13","05",2003,5,3,0,7,3,1,1,1,0,"27/27/2000","13/13/2003",4320001,2001,"TUR border (south of Dacta), near Aegean Sea",36.6,27.81667,1
4320,"27","12",2000,"13","05",2003,5,3,0,7,3,1,1,1,0,"27/27/2000","13/13/2003",4320002,2001,"TUR border (South of Dacta), Aegean Sea",36.6,27.81667,0
4321,"12","07",1998,"17","07",1998,7,4,0,15,4,0,1,1,0,"12/12/1998","17/17/1998",4321001,1998,"Near Spitzbergen Archipelago, International Waters",76,23,1
4322,"13","08",1999,"16","08",1999,5,3,0,8,3,0,1,1,0,"13/13/1999","16/16/1999",4322001,1999,"None",-9999,-9999,1
4323,"17","03",1997,"03","04",1997,5,3,0,12,3,0,1,1,0,"17/17/1997","03/03/1997",4323001,1997,"Greek airspace between the eastern Aegean islands of Khios and Lesvos and Lesvos",39.16667,26.25,1
4323,"17","03",1997,"03","04",1997,5,3,0,12,3,0,1,1,0,"17/17/1997","03/03/1997",4323002,1997,"Greek airspace between the islands of Limnos, Lesvos, Kos and Rhodes",38.46667,25.9,0
4324,"25","07",2000,"01","01",2001,5,3,0,16,4,0,1,1,0,"25/25/2000","01/01/2001",4324001,2000,"Northern Iraq: Haftanin, Metina and Sinath regions",37.25,43.01667,1
4324,"25","07",2000,"01","01",2001,5,3,0,16,4,0,1,1,0,"25/25/2000","01/01/2001",4324002,2000,"Iraq-Turkey border",37.25,43.56667,0
4324,"25","07",2000,"01","01",2001,5,3,0,16,4,0,1,1,0,"25/25/2000","01/01/2001",4324003,2000,"near the borders of Iran and Turkey",37.1,44.66667,0
4325,"25","08",2001,"05","07",2003,5,3,1,16,4,0,1,1,0,"25/25/2001","05/05/2003",4325001,2001,"Northern Iraq",36.33333,43.11666,1
4327,"01","03",2001,"01","03",2001,5,3,0,11,3,0,1,1,0,"01/01/2001","01/01/2001",4327001,2001,"Maritime frontier between NIC and HON in the Gulf of Fonseca.",13.25,-87.73333,1
4328,"01","09",1998,"01","09",1998,5,3,0,7,3,0,1,1,0,"01/01/1998","01/01/1998",4328001,1998,"In the Ernan and Jindun Reefs in the Spratly Islands",7.75,111.5,1
4329,"01","08",1998,"01","08",1998,5,3,0,7,3,0,1,1,0,"01/01/1998","01/01/1998",4329001,1998,"In the Spratly Islands",10,114,1
4330,"30","10",1999,"30","10",1999,5,3,0,16,4,0,1,1,0,"30/30/1999","30/30/1999",4330001,1999,"Over Pigeon Reef around the Spratly Islands.",8.866667,114.6333,1
4331,"16","04",1994,"28","04",1994,5,3,0,7,3,0,1,1,0,"16/16/1994","28/28/1994",4331001,1994,"Taiping Island and the waters surrounding the Spratly Islands",10.38333,114.35,1
4332,"17","02",1994,"20","02",1994,5,3,0,8,3,0,1,1,0,"17/17/1994","20/20/1994",4332001,1994,"YUG - HUN Border, Southern HUN",46.18333,19.61667,1
